pair_index,Ti_pre,Ca_pre,Mg_pre,Ti_post,Ca_post,Mg_post
100,5874.34,4823.27,6360.88,6396.21,7054.02,7351.49
101,2375.89,1661.52,1257.15,5443.19,10143.42,6056.09
102,4066.17,2525.33,2655.32,6007.24,5563.5,4441.88
103,3936.18,2924.89,2718.31,5412.98,5205.26,5662.85
104,4476.02,1395.38,2368.03,4819.92,2626.44,2674.54
105,4682.27,3381.26,3439.11,4517.45,4712.1,3220.19
106,5054.19,4690.42,5152.81,7205.06,15287.82,8585.09
107,5373.85,7652.16,6278.19,5183.72,4912.32,4151.41
108,5239.85,3153.56,3699.93,6013.07,3900.19,5461.21
109,3920.97,2413.71,3228.3,3008.21,1539.46,1937.89
110,4681.6,4153.45,5803.96,5340.26,4490.11,5116.57
111,4506.15,6020.05,6715.8,5607.93,5988.69,6432.6
112,4669.32,2516.61,2901.63,5463.98,5197.97,3006.04
113,5279.87,6425.57,6242.94,4750.64,4336.36,4258.27
114,4955.91,5434.28,5505.87,5153.87,5711.15,5015.71
115,3748.24,1902.07,2509.54,8515.36,13750.02,7293.14
116,3499.21,1943.27,2732.89,4851.15,10449.49,6737.16
117,288.3,308.57,418.53,4831.67,5535.59,3958.47
118,4937.09,4188.41,4880.57,8610.13,21621.44,11009.67
119,5219.74,3566.33,4555.32,6158.52,7409.19,6746.85
120,4760.15,2424.85,3043.83,4900.33,11259.05,6583.75
121,4726.38,4227.06,6021,5690.48,9604.77,8584.84
122,5359.67,4685.82,5135.67,3202.59,3571.75,2522.03
123,3556.86,3921.3,3470.5,4281.86,2986.63,2662.94
124,4956.43,4101.02,5736.18,5808.12,11693.6,7933.32
125,4602.74,2350.27,2336.33,5065.11,5086.18,5130.11
126,4622.63,2928.63,5561.63,4273.25,2910.52,3773.12
127,5412.14,2186.58,5058.17,4696.58,2929.38,2543.74
128,5567.79,4734.92,4762.46,5202.04,4334.07,3610.37
129,6983.59,6685.99,5393.08,4964.22,4868.28,3790.85
130,2614.24,1599.87,1563.06,4348.06,6382.14,3963.62
131,4984.04,3160.72,5146.47,5452.71,4276.25,4665.25
132,4305.06,3105.23,3461.6,2787.64,1770.49,2021.45
133,5006.42,3287.55,3857.69,5949.67,3592.71,5301.12
134,1121.42,763.97,982.34,4165.37,4902.19,4084.59
135,4387.13,2599.45,2624.05,5528.24,4314.45,4386.5
136,5341.22,3618.18,5214.68,7211.28,11066.38,10055.9
137,4414.68,2958.2,4056.45,5476.11,5890.3,5456.87
138,5760.81,4279.98,5603.76,5318.86,3555.35,5010.26
139,5094.52,3937.32,4506.31,5765.25,5877.52,5762.85
140,5711.35,2187.32,3061.28,5550.89,12459.04,8880.43
141,6684.77,4799.23,4590.29,5548.03,4645.96,4306.28
142,3660.4,2099.23,2960.08,3680.13,3300.87,2863.49
143,3837.6,2804.97,2844.89,4621.22,2704.24,3890.59
144,5549.38,3324.11,4887.22,5952.82,5975.76,7319.63
145,4808.78,4193.71,4089.27,8386.33,15042.25,8327.86
146,6046.83,6141.17,4325.55,12333.43,8553.75,6902.99
147,6094.01,6905.52,6087.38,5641.65,7675.62,5820.98
148,3455.84,2013.75,2368.66,5013.62,6258.96,4344.22
149,3196.88,1958.72,1787.32,3891.22,4046.48,4002.59
150,4995.67,5797.97,5466.89,4945.23,4047.35,4085.23
151,1894.98,2323.55,1482.84,4702.93,8018.09,4979.95
152,2467.65,2855.49,2208.34,2847.9,3541.01,2184.52
153,4688.78,2690.07,4088.86,5742.65,7781.99,6354.72
154,5045.8,6140.03,6862.44,3971.37,3011.52,2839.4
155,4485,2209.77,3785.87,5449.37,7019,5705.52
156,4974.57,1985.57,2691.94,4352.78,2469.64,2629.28
157,4254.43,5998.72,5119.33,4815.79,6102.73,6155.36
158,3801.01,2625.63,4731.94,4087.73,3515.05,4430.64
159,4415.44,2414.87,2369.78,4768.14,3831.9,4212.51
160,5229.3,3488.66,4513.77,5270.26,2310.96,3142.87
