pair_index,Ti_pre,Ca_pre,Mg_pre,Ti_post,Ca_post,Mg_post
139,2377.75,1482.67,1864.15,4838.66,6556.23,4458.28
140,3609.3,3044.15,2055.72,4005.95,4677.96,3998.12
141,4928.15,4006.47,3572.17,4255.26,4347.31,3225.47
142,3449.32,2418.41,2283.59,5750.82,9340.96,6604.64
143,2665.32,2174.62,1695.34,3182.46,2312.86,2678.23
144,3626.28,4290.88,2696.23,4954.99,7606.78,4919.36
145,2062.72,1168.24,1086.03,4382.32,4541.88,4083.39
146,5220.78,2553.19,2784.81,3057.16,8708.1,2988.55
147,2526.62,2138.06,1714.21,5144.62,5813.22,5453.27
148,3555.47,2596.44,2397.7,4537.17,6571.02,4826.93
149,3872.53,5232.81,3465.33,4367.85,10241.99,5610.69
150,4577.82,4446.9,2885.02,4520.79,15337.47,6556.05
151,3177.46,8540.93,2832.11,5933.32,11734.29,7694.55
152,4698.3,4455.31,3107.52,4211.86,4818.79,3489
153,2758.49,2920.64,1811.92,4545.6,6080.2,4501
154,4672.58,4840.45,4915.28,4983.85,8260.71,5270.62
155,2966.18,1695.72,1896.53,4753.42,11171.45,5913.47
156,4142.9,4632.09,4092.43,4463.96,7624.74,4519.08
157,3451.84,2460.38,3003.12,5682.71,11474.49,8249.38
158,1270.52,3965.44,1026.77,4683.23,4274.07,4626.19
159,4095.42,4425.56,2943.2,2759.36,5069.89,2429.27
160,4936.78,4533.16,4506.35,4093.43,6845.76,3505.29
161,2112.7,2237.97,1115.11,3336.23,4768.34,2567.69
162,5508.34,4151.07,2101.63,3086.9,4942.19,1818.09
163,2678.87,2824.27,1760.51,4683.19,6677.82,4885.3
164,3576.15,2255.59,2813.66,4289.23,7564.63,3496.05
165,2899.97,9514.94,3258.99,4807.01,6845.98,3939.39
166,3192.03,3057.68,2000.71,4984.1,13919.33,7660.67
167,3153.7,2052.25,1822.48,5391.99,12640.11,7403.48
168,3775.87,3801.66,3196.43,5192.14,10544.97,5464.24
169,3210.55,8984.26,2817.57,3177.91,7082.47,2772.4
170,5186.96,5165.72,5014.6,5908.94,13441.91,8102.06
171,3403.7,7656.07,5739.85,4450.68,5847.91,4710.22
